RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04
753893,"Jefferson, GA",377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107300,115400,123400,123600,118800,119400,117200,114600,111100,112200,116500,118200,121700,124300,125800,128800,129200,130300,129800,132100,132700,135200,137e3,142500,144300,145e3,141600,143400,147900,154100,153600,156100,153400,159200,156300,156800,152500,149900,152100,152e3,155e3,158100,169700,170800,173400,166900,167600,164100,163400,166300,170500,173500,172200,170600,172500,181e3,182900,182e3,178600,180400,185400,194100,187400,186200,181800,189200,196600,195500,200100,203300,209600,210500,207700,211700,210400,211800,206900,201500,197200,198400,21e4,
394365,"Batavia, NY",378,92600,95900,100500,94700,85700,79400,81300,89300,91500,89700,79700,76100,81900,93400,98900,101100,92500,91500,85500,87100,87e3,87200,94800,92400,98200,106200,111200,106400,94200,85500,90900,90700,100700,96e3,93e3,87900,86900,92700,94800,95200,89500,90700,93300,90600,86600,92900,102e3,100200,89700,88800,99200,101300,100900,92400,97700,96400,108900,102900,101500,88300,93400,99700,104e3,101700,95400,99600,99800,100200,100300,97100,98100,99600,103500,115400,115e3,112100,100600,94100,96e3,96300,99e3,100800,99600,98600,101300,102300,106700,102e3,103900,104600,106e3,102800,101800,98100,94700,87100,88200,87300,89500,94500,97700,96800,94e3,97900,101100,103e3,99900,105900,102800,104500,99400,102900,100700,104400,103500,102300,97700,101700,111500,118300,112300,120600,111100,117e3,109500,115200,118700,114800,113800,112300,111900,116300,,
753910,"Oxford, NC",379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145600,137300,130400,127500,139200,150700,134100,135900,125400,140500,129300,136200,139400,141300,134600,135100,135600,137e3,140300,150500,153500,149400,139100,137300,140700,137600,141100,149900,157700,162600,163900,163500,163400,151400,168100,161900,171700,155e3,160400,153300,155800,152100,152200,148600,144500,150800,165100,169600,164600,157800,161800,162100,157400,154300,155300,159700,161700,169700,174e3,179600,171300,172600,168e3,175900,179600,170600,165e3,166800,187100,199700,209700,211400,204100,191600,178600,180700,179800,183900,185400,199600,205900,202e3,187400
394923,"Norwalk, OH",380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60700,60200,67600,75900,69200,69200,66600,72800,71200,72700,74e3,75e3,73900,66600,68600,69900,77200,77100,82500,85e3,85300,82500,91600,91800,92100,80500,80200,78900,81500,83500,85800,84500,85700,88900,95300,93e3,88200,83700,85800,88e3,97400,94800,93400,83800,87500,87800,109100,101400,103700,86500,91900,92100,98300,101700,102400,96400,95700,93300,92800,99900,107e3,109300,105700,101300,105600,109700,114300,108900,98700,94100,91900,94300,97800,
395063,"Sanford, NC",381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112500,108e3,107200,122100,124200,133e3,131100,122100,122300,122300,130800,13e4,131800,142800,138500,135400,127700,129600,131400,130200,134200,134600,137300,136500,137500,136700,141500,140600,139900,139900,144e3,149800,147500,156200,150400,147800,131200,140400,133100,136400,140400,146400,145200,136300
394591,"Fergus Falls, MN",382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152900,133100,132600,129200,122200,119400,127100,132e3,139900,132900,130200,127200,132100,128800,127300,135500,149e3,152100,136e3,127600,125100,133600,133700,134700,129100,126700,143500,148300,155700,142200,143e3,138900,143800,140200,136100,133200,128500,142200,155800,166100,163100,152700,156e3,159800,161500,157100,155300,155800,166900,161900,160700,151200,180500,174500,184600
395157,"Tiffin, OH",383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75500,70600,66500,74300,79300,79600,76100,71500,72300,82400,86900,90900,82200,76800,80900,81400,85700,81800,81900,83800,82800,80200,77e3,77300,77500,80300,80300,83600,90800,84200,87e3,79700,92e3,89100,86200,8e4,76700,80400,78700,
394509,"Crossville, TN",384,94100,96400,100300,96100,103600,95600,93800,96900,107600,119600,125700,127700,116500,108600,109700,121100,118600,115100,115300,111100,114300,109e3,105500,104600,112600,120200,116100,121100,121100,116600,102900,104800,108600,106900,108800,113900,12e4,123900,114400,102500,98800,106300,118900,119e3,116700,113e3,110500,110300,116e3,113100,117400,112700,114400,106200,101800,103600,107e3,119e3,122400,123100,117900,115800,116800,114600,116e3,113400,113900,116600,113900,112100,102500,101900,101200,105600,105500,108400,110700,115600,114800,115e3,117500,121700,123800,123900,122100,122500,121200,12e4,116100,116400,115600,115400,121600,123e3,136400,134300,134600,124200,131300,130700,132e3,123900,130200,128700,128800,125300,131300,132500,134400,129700,133900,136400,136700,135900,134100,140300,151600,153300,150100,142700,145800,145800,148600,153900,160200,156400,151300,149600,155800,153300,151900,144200,150600,
753920,"Sonora, CA",385,271500,260700,263900,264400,263400,261700,285900,285300,273700,234100,218500,215e3,215400,221500,220100,220100,209200,208600,211200,214600,217600,208300,204900,192300,189900,190900,194800,187700,186300,187e3,193900,197300,193700,191700,177100,176e3,164500,163900,151900,153600,141700,142400,141600,153900,155700,156200,156500,153400,153300,146900,141e3,143200,144400,158400,156900,166800,168800,186900,191400,180900,162e3,168600,174800,178800,165800,179600,194700,203e3,200500,195600,197e3,203500,207500,216900,216200,219400,218700,216600,212700,208300,207e3,211300,221100,215900,213200,207600,216200,218700,226100,223700,228600,224400,231400,229800,230300,231300,235200,234600,233900,233e3,231800,241100,245600,249600,248800,249400,263300,267100,269300,260500,262300,266e3,269500,269800,267500,269100,279e3,279700,272300,255900,255900,271600,276700,282400,281400,297800,294e3,298600,287200,283300,279800,272300,29e4,
394444,"Carson City, NV",386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204100,190900,193600,203400,217400,213200,215600,209400,210200,214200,216600,217700,220400,227100,230500,229500,225500,230100,234200,238300,241700,243100,250100,248700,252400,251100,256400,259900,264100,265e3,268400,264e3,270300,264e3,273e3,273300,282e3,280800,286900,293800,311600,302400,304e3,290800,301400,294600,294300,293200,298100,308800,313600,321400,
