,Town,median_rent,Latitude,Longitude
125,"Seattle, WA",470400.0,47.6062095,-122.3320708
126,"Sebring, FL",132500.0,27.495592,-81.440907
127,"Shelton, WA",267200.0,47.2150945,-123.1007066
128,"Show Low, AZ",229000.0,34.2542084,-110.0298327
129,"Sierra Vista, AZ",152000.0,31.5455001,-110.2772856
130,"Spokane, WA",234500.0,47.6587802,-117.4260465
131,"Springfield, OH",115900.0,39.9242266,-83.8088171
132,"St. Cloud, MN",174700.0,45.5579451,-94.16324039999999
133,"Staunton, VA",188500.0,38.149576,-79.0716958
134,"Sterling, CO",162200.0,40.6255415,-103.207709
135,"Trenton, NJ",207100.0,40.2205824,-74.759717
136,"Truckee, CA",451400.0,39.327962,-120.1832533
137,"Tucson, AZ",207900.0,32.2226066,-110.9747108
138,"Tulsa, OK",161300.0,36.1539816,-95.99277500000001
139,"Ventura, CA",601000.0,34.2804923,-119.2945199
140,"Weirton, OH",88800.0,40.41895660000001,-80.58951669999999
141,"Wenatchee, WA",312100.0,47.4234599,-120.3103494
142,"Winston-Salem, NC",152400.0,36.09985959999999,-80.244216
143,"Woodward, OK",130400.0,36.4336481,-99.3903862
144,"Yakima, WA",227300.0,46.6020711,-120.5058987
